sampleID	bioSampleID	dataset	target_gene	marker	molecule	Tara_biome_original	expedition	basin	area	watling_basins	Biome	Tara_depth_nominal	province	station	deployment	core	pseudoreplicate	samp_size	samp_mat_process	samp_collect_device	collection_timestamp	collection_date	latitude	longitude	lower_size_...µm	upper_size_...µm	size_class	depth	primprod	calcite	nitrate	PAR_mean	ph	silicate	sst_mean	sst_range	srf_current	slope	PIC_mean	POC_mean	tsm_mean	sb_nitrate	sb_o2dissolve	sb_o2utilized	sb_silicate	sb_temp	phosphate	sb_salinity	wat_col_temp	seafloor_depth	POC_seafloor	POC_export
DNA_11	UK1-U2-MC02-C6	deep_sea	18S rRNA	V9	DNA		Abyssline2	Pacific Ocean	North Pacific Ocean	AB11	Sediment		CCFZ_UK1	UK1-U2	UK1-U2-MC02	UK1-U2-MC02-C6	UK1-U2-MC02-C6-R2	2 ml	lifeguard preservation solution	multiple corer	18/02/2015	18/02/2015	12.3670323	-116.5170188	0	1		4166.0	307.361389160156	6.2144980430603	2	43	8.20642375946045	2	27	1.1903430223465	-0.0638542622327805	0.498131603002548	86.334716796875	46.3722610473633	0.0666614100337029	37.3572998046875	3.43420004844666	4.32919979095459	158.089401245117	1.51740002632141	0.244800001382828	34.6369514465332	6.83177614212036	-3952.7080078125	1.649197727	6.55604553222656
DNA_12	UK1-U2-MC02-C6	deep_sea	18S rRNA	V9	DNA		Abyssline2	Pacific Ocean	North Pacific Ocean	AB11	Sediment		CCFZ_UK1	UK1-U2	UK1-U2-MC02	UK1-U2-MC02-C6	UK1-U2-MC02-C6-R3	2 ml	lifeguard preservation solution	multiple corer	18/02/2015	18/02/2015	12.3670323	-116.5170188	0	1		4166.0	307.361389160156	6.2144980430603	2	43	8.20642375946045	2	27	1.1903430223465	-0.0638542622327805	0.498131603002548	86.334716796875	46.3722610473633	0.0666614100337029	37.3572998046875	3.43420004844666	4.32919979095459	158.089401245117	1.51740002632141	0.244800001382828	34.6369514465332	6.83177614212036	-3952.7080078125	1.649197727	6.55604553222656
DNA_13	UK1-U3-MC03-C2	deep_sea	18S rRNA	V9	DNA		Abyssline2	Pacific Ocean	North Pacific Ocean	AB11	Sediment		CCFZ_UK1	UK1-U3	UK1-U3-MC03	UK1-U3-MC03-C2	UK1-U3-MC03-C2-R1	2 ml	lifeguard preservation solution	multiple corer	19/02/2015	19/02/2015	12.4068052	-116.4847407	0	1		4148.0	310.087310791016	6.23587989807129	2	43	8.20694446563721	2	27	1.66519904136658	-0.063466377556324	0.544867277145386	88.0278091430664	46.7788009643555	0.0670384466648102	37.3572998046875	3.43420004844666	4.32919979095459	158.089401245117	1.51740002632141	0.244800001382828	34.6370010375977	6.82423400878906	-4053.7919921875	1.640512603	6.55604553222656
DNA_14	UK1-U3-MC03-C2	deep_sea	18S rRNA	V9	DNA		Abyssline2	Pacific Ocean	North Pacific Ocean	AB11	Sediment		CCFZ_UK1	UK1-U3	UK1-U3-MC03	UK1-U3-MC03-C2	UK1-U3-MC03-C2-R2	2 ml	lifeguard preservation solution	multiple corer	19/02/2015	19/02/2015	12.4068052	-116.4847407	0	1		4148.0	310.087310791016	6.23587989807129	2	43	8.20694446563721	2	27	1.66519904136658	-0.063466377556324	0.544867277145386	88.0278091430664	46.7788009643555	0.0670384466648102	37.3572998046875	3.43420004844666	4.32919979095459	158.089401245117	1.51740002632141	0.244800001382828	34.6370010375977	6.82423400878906	-4053.7919921875	1.640512603	6.55604553222656
DNA_15	UK1-U3-MC03-C2	deep_sea	18S rRNA	V9	DNA		Abyssline2	Pacific Ocean	North Pacific Ocean	AB11	Sediment		CCFZ_UK1	UK1-U3	UK1-U3-MC03	UK1-U3-MC03-C2	UK1-U3-MC03-C2-R3	2 ml	lifeguard preservation solution	multiple corer	19/02/2015	19/02/2015	12.4068052	-116.4847407	0	1		4148.0	310.087310791016	6.23587989807129	2	43	8.20694446563721	2	27	1.66519904136658	-0.063466377556324	0.544867277145386	88.0278091430664	46.7788009643555	0.0670384466648102	37.3572998046875	3.43420004844666	4.32919979095459	158.089401245117	1.51740002632141	0.244800001382828	34.6370010375977	6.82423400878906	-4053.7919921875	1.640512603	6.55604553222656
DNA_16	UK1-U3-MC03-C9	deep_sea	18S rRNA	V9	DNA		Abyssline2	Pacific Ocean	North Pacific Ocean	AB11	Sediment		CCFZ_UK1	UK1-U3	UK1-U3-MC03	UK1-U3-MC03-C9	UK1-U3-MC03-C9-R1	2 ml	lifeguard preservation solution	multiple corer	19/02/2015	19/02/2015	12.4068052	-116.4847407	0	1		4148.0	310.087310791016	6.23587989807129	2	43	8.20694446563721	2	27	1.66519904136658	-0.063466377556324	0.544867277145386	88.0278091430664	46.7788009643555	0.0670384466648102	37.3572998046875	3.43420004844666	4.32919979095459	158.089401245117	1.51740002632141	0.244800001382828	34.6370010375977	6.82423400878906	-4053.7919921875	1.640512603	6.55604553222656
DNA_17	UK1-U3-MC03-C9	deep_sea	18S rRNA	V9	DNA		Abyssline2	Pacific Ocean	North Pacific Ocean	AB11	Sediment		CCFZ_UK1	UK1-U3	UK1-U3-MC03	UK1-U3-MC03-C9	UK1-U3-MC03-C9-R2	2 ml	lifeguard preservation solution	multiple corer	19/02/2015	19/02/2015	12.4068052	-116.4847407	0	1		4148.0	310.087310791016	6.23587989807129	2	43	8.20694446563721	2	27	1.66519904136658	-0.063466377556324	0.544867277145386	88.0278091430664	46.7788009643555	0.0670384466648102	37.3572998046875	3.43420004844666	4.32919979095459	158.089401245117	1.51740002632141	0.244800001382828	34.6370010375977	6.82423400878906	-4053.7919921875	1.640512603	6.55604553222656
DNA_18	UK1-U3-MC03-C9	deep_sea	18S rRNA	V9	DNA		Abyssline2	Pacific Ocean	North Pacific Ocean	AB11	Sediment		CCFZ_UK1	UK1-U3	UK1-U3-MC03	UK1-U3-MC03-C9	UK1-U3-MC03-C9-R3	2 ml	lifeguard preservation solution	multiple corer	19/02/2015	19/02/2015	12.4068052	-116.4847407	0	1		4148.0	310.087310791016	6.23587989807129	2	43	8.20694446563721	2	27	1.66519904136658	-0.063466377556324	0.544867277145386	88.0278091430664	46.7788009643555	0.0670384466648102	37.3572998046875	3.43420004844666	4.32919979095459	158.089401245117	1.51740002632141	0.244800001382828	34.6370010375977	6.82423400878906	-4053.7919921875	1.640512603	6.55604553222656
DNA_19	UK1-U5-MC04-C4	deep_sea	18S rRNA	V9	DNA		Abyssline2	Pacific Ocean	North Pacific Ocean	AB11	Sediment		CCFZ_UK1	UK1-U5	UK1-U5-MC04	UK1-U5-MC04-C4	UK1-U5-MC04-C4-R1	2 ml	lifeguard preservation solution	multiple corer	21/02/2015	21/02/2015	12.3710667	-116.6136333	0	1		4163.0	306.427886962891	6.05263376235962	2	43	8.20605278015137	2	27	1.05894899368286	-0.0639863535761833	0.398075491189957	86.1581802368164	46.6732902526855	0.067227691411972	37.3572998046875	3.43420004844666	4.32919979095459	158.089401245117	1.51740002632141	0.244800001382828	34.6366996765137	6.83698606491089	-3970.59106445312	1.649197727	6.55604553222656
DNA_20	UK1-U5-MC04-C4	deep_sea	18S rRNA	V9	DNA		Abyssline2	Pacific Ocean	North Pacific Ocean	AB11	Sediment		CCFZ_UK1	UK1-U5	UK1-U5-MC04	UK1-U5-MC04-C4	UK1-U5-MC04-C4-R2	2 ml	lifeguard preservation solution	multiple corer	21/02/2015	21/02/2015	12.3710667	-116.6136333	0	1		4163.0	306.427886962891	6.05263376235962	2	43	8.20605278015137	2	27	1.05894899368286	-0.0639863535761833	0.398075491189957	86.1581802368164	46.6732902526855	0.067227691411972	37.3572998046875	3.43420004844666	4.32919979095459	158.089401245117	1.51740002632141	0.244800001382828	34.6366996765137	6.83698606491089	-3970.59106445312	1.649197727	6.55604553222656
DNA_21	UK1-U5-MC04-C4	deep_sea	18S rRNA	V9	DNA		Abyssline2	Pacific Ocean	North Pacific Ocean	AB11	Sediment		CCFZ_UK1	UK1-U5	UK1-U5-MC04	UK1-U5-MC04-C4	UK1-U5-MC04-C4-R3	2 ml	lifeguard preservation solution	multiple corer	21/02/2015	21/02/2015	12.3710667	-116.6136333	0	1		4163.0	306.427886962891	6.05263376235962	2	43	8.20605278015137	2	27	1.05894899368286	-0.0639863535761833	0.398075491189957	86.1581802368164	46.6732902526855	0.067227691411972	37.3572998046875	3.43420004844666	4.32919979095459	158.089401245117	1.51740002632141	0.244800001382828	34.6366996765137	6.83698606491089	-3970.59106445312	1.649197727	6.55604553222656
DNA_22	UK1-U5-MC04-C8	deep_sea	18S rRNA	V9	DNA		Abyssline2	Pacific Ocean	North Pacific Ocean	AB11	Sediment		CCFZ_UK1	UK1-U5	UK1-U5-MC04	UK1-U5-MC04-C8	UK1-U5-MC04-C8-R1	2 ml	lifeguard preservation solution	multiple corer	21/02/2015	21/02/2015	12.3710667	-116.6136333	0	1		4163.0	306.427886962891	6.05263376235962	2	43	8.20605278015137	2	27	1.05894899368286	-0.0639863535761833	0.398075491189957	86.1581802368164	46.6732902526855	0.067227691411972	37.3572998046875	3.43420004844666	4.32919979095459	158.089401245117	1.51740002632141	0.244800001382828	34.6366996765137	6.83698606491089	-3970.59106445312	1.649197727	6.55604553222656
DNA_23	UK1-U5-MC04-C8	deep_sea	18S rRNA	V9	DNA		Abyssline2	Pacific Ocean	North Pacific Ocean	AB11	Sediment		CCFZ_UK1	UK1-U5	UK1-U5-MC04	UK1-U5-MC04-C8	UK1-U5-MC04-C8-R2	2 ml	lifeguard preservation solution	multiple corer	21/02/2015	21/02/2015	12.3710667	-116.6136333	0	1		4163.0	306.427886962891	6.05263376235962	2	43	8.20605278015137	2	27	1.05894899368286	-0.0639863535761833	0.398075491189957	86.1581802368164	46.6732902526855	0.067227691411972	37.3572998046875	3.43420004844666	4.32919979095459	158.089401245117	1.51740002632141	0.244800001382828	34.6366996765137	6.83698606491089	-3970.59106445312	1.649197727	6.55604553222656
DNA_24	UK1-U5-MC04-C8	deep_sea	18S rRNA	V9	DNA		Abyssline2	Pacific Ocean	North Pacific Ocean	AB11	Sediment		CCFZ_UK1	UK1-U5	UK1-U5-MC04	UK1-U5-MC04-C8	UK1-U5-MC04-C8-R3	2 ml	lifeguard preservation solution	multiple corer	21/02/2015	21/02/2015	12.3710667	-116.6136333	0	1		4163.0	306.427886962891	6.05263376235962	2	43	8.20605278015137	2	27	1.05894899368286	-0.0639863535761833	0.398075491189957	86.1581802368164	46.6732902526855	0.067227691411972	37.3572998046875	3.43420004844666	4.32919979095459	158.089401245117	1.51740002632141	0.244800001382828	34.6366996765137	6.83698606491089	-3970.59106445312	1.649197727	6.55604553222656
DNA_25	UK1-U4-MC05-C1	deep_sea	18S rRNA	V9	DNA		Abyssline2	Pacific Ocean	North Pacific Ocean	AB11	Sediment		CCFZ_UK1	UK1-U4	UK1-U4-MC05	UK1-U4-MC05-C1	UK1-U4-MC05-C1-R1	2 ml	lifeguard preservation solution	multiple corer	22/02/2015	22/02/2015	12.5789685	-116.723752	0	1		4235.0	300.364990234375	6.02676391601562	2	43	8.20600032806396	2	27	1.91779100894928	-0.0702056884765625	0.689927697181702	93.8416366577148	45.7913513183594	0.0695898085832596	37.3572998046875	3.43420004844666	4.32919979095459	158.089401245117	1.51740002632141	0.244800001382828	34.6356887817383	6.86278390884399	-4097.05712890625	1.644217459	6.14332342147827
DNA_26	UK1-U4-MC05-C1	deep_sea	18S rRNA	V9	DNA		Abyssline2	Pacific Ocean	North Pacific Ocean	AB11	Sediment		CCFZ_UK1	UK1-U4	UK1-U4-MC05	UK1-U4-MC05-C1	UK1-U4-MC05-C1-R2	2 ml	lifeguard preservation solution	multiple corer	22/02/2015	22/02/2015	12.5789685	-116.723752	0	1		4235.0	300.364990234375	6.02676391601562	2	43	8.20600032806396	2	27	1.91779100894928	-0.0702056884765625	0.689927697181702	93.8416366577148	45.7913513183594	0.0695898085832596	37.3572998046875	3.43420004844666	4.32919979095459	158.089401245117	1.51740002632141	0.244800001382828	34.6356887817383	6.86278390884399	-4097.05712890625	1.644217459	6.14332342147827
DNA_27	UK1-U4-MC05-C1	deep_sea	18S rRNA	V9	DNA		Abyssline2	Pacific Ocean	North Pacific Ocean	AB11	Sediment		CCFZ_UK1	UK1-U4	UK1-U4-MC05	UK1-U4-MC05-C1	UK1-U4-MC05-C1-R3	2 ml	lifeguard preservation solution	multiple corer	22/02/2015	22/02/2015	12.5789685	-116.723752	0	1		4235.0	300.364990234375	6.02676391601562	2	43	8.20600032806396	2	27	1.91779100894928	-0.0702056884765625	0.689927697181702	93.8416366577148	45.7913513183594	0.0695898085832596	37.3572998046875	3.43420004844666	4.32919979095459	158.089401245117	1.51740002632141	0.244800001382828	34.6356887817383	6.86278390884399	-4097.05712890625	1.644217459	6.14332342147827
DNA_28	UK1-U4-MC05-C9	deep_sea	18S rRNA	V9	DNA		Abyssline2	Pacific Ocean	North Pacific Ocean	AB11	Sediment		CCFZ_UK1	UK1-U4	UK1-U4-MC05	UK1-U4-MC05-C9	UK1-U4-MC05-C9-R1	2 ml	lifeguard preservation solution	multiple corer	22/02/2015	22/02/2015	12.5789685	-116.723752	0	1		4235.0	300.364990234375	6.02676391601562	2	43	8.20600032806396	2	27	1.91779100894928	-0.0702056884765625	0.689927697181702	93.8416366577148	45.7913513183594	0.0695898085832596	37.3572998046875	3.43420004844666	4.32919979095459	158.089401245117	1.51740002632141	0.244800001382828	34.6356887817383	6.86278390884399	-4097.05712890625	1.644217459	6.14332342147827
DNA_29	UK1-U4-MC05-C9	deep_sea	18S rRNA	V9	DNA		Abyssline2	Pacific Ocean	North Pacific Ocean	AB11	Sediment		CCFZ_UK1	UK1-U4	UK1-U4-MC05	UK1-U4-MC05-C9	UK1-U4-MC05-C9-R2	2 ml	lifeguard preservation solution	multiple corer	22/02/2015	22/02/2015	12.5789685	-116.723752	0	1		4235.0	300.364990234375	6.02676391601562	2	43	8.20600032806396	2	27	1.91779100894928	-0.0702056884765625	0.689927697181702	93.8416366577148	45.7913513183594	0.0695898085832596	37.3572998046875	3.43420004844666	4.32919979095459	158.089401245117	1.51740002632141	0.244800001382828	34.6356887817383	6.86278390884399	-4097.05712890625	1.644217459	6.14332342147827
DNA_30	UK1-U4-MC05-C9	deep_sea	18S rRNA	V9	DNA		Abyssline2	Pacific Ocean	North Pacific Ocean	AB11	Sediment		CCFZ_UK1	UK1-U4	UK1-U4-MC05	UK1-U4-MC05-C9	UK1-U4-MC05-C9-R3	2 ml	lifeguard preservation solution	multiple corer	22/02/2015	22/02/2015	12.5789685	-116.723752	0	1		4235.0	300.364990234375	6.02676391601562	2	43	8.20600032806396	2	27	1.91779100894928	-0.0702056884765625	0.689927697181702	93.8416366577148	45.7913513183594	0.0695898085832596	37.3572998046875	3.43420004844666	4.32919979095459	158.089401245117	1.51740002632141	0.244800001382828	34.6356887817383	6.86278390884399	-4097.05712890625	1.644217459	6.14332342147827
DNA_31	UK1-U6-MC06-C6	deep_sea	18S rRNA	V9	DNA		Abyssline2	Pacific Ocean	North Pacific Ocean	AB11	Sediment		CCFZ_UK1	UK1-U6	UK1-U6-MC06	UK1-U6-MC06-C6	UK1-U6-MC06-C6-R1	2 ml	lifeguard preservation solution	multiple corer	23/02/2015	23/02/2015	12.57905	-116.6880167	0	1		4234.0	300.364990234375	6.02676391601562	2	43	8.20600032806396	2	27	1.91779100894928	-0.0702056884765625	0.689927697181702	93.8416366577148	45.7913513183594	0.0695898085832596	37.3572998046875	3.43420004844666	4.32919979095459	158.089401245117	1.51740002632141	0.244800001382828	34.6356887817383	6.86278390884399	-4097.05712890625	1.644217459	6.14332342147827
DNA_32	UK1-U6-MC06-C6	deep_sea	18S rRNA	V9	DNA		Abyssline2	Pacific Ocean	North Pacific Ocean	AB11	Sediment		CCFZ_UK1	UK1-U6	UK1-U6-MC06	UK1-U6-MC06-C6	UK1-U6-MC06-C6-R2	2 ml	lifeguard preservation solution	multiple corer	23/02/2015	23/02/2015	12.57905	-116.6880167	0	1		4234.0	300.364990234375	6.02676391601562	2	43	8.20600032806396	2	27	1.91779100894928	-0.0702056884765625	0.689927697181702	93.8416366577148	45.7913513183594	0.0695898085832596	37.3572998046875	3.43420004844666	4.32919979095459	158.089401245117	1.51740002632141	0.244800001382828	34.6356887817383	6.86278390884399	-4097.05712890625	1.644217459	6.14332342147827
DNA_33	UK1-U6-MC06-C6	deep_sea	18S rRNA	V9	DNA		Abyssline2	Pacific Ocean	North Pacific Ocean	AB11	Sediment		CCFZ_UK1	UK1-U6	UK1-U6-MC06	UK1-U6-MC06-C6	UK1-U6-MC06-C6-R3	2 ml	lifeguard preservation solution	multiple corer	23/02/2015	23/02/2015	12.57905	-116.6880167	0	1		4234.0	300.364990234375	6.02676391601562	2	43	8.20600032806396	2	27	1.91779100894928	-0.0702056884765625	0.689927697181702	93.8416366577148	45.7913513183594	0.0695898085832596	37.3572998046875	3.43420004844666	4.32919979095459	158.089401245117	1.51740002632141	0.244800001382828	34.6356887817383	6.86278390884399	-4097.05712890625	1.644217459	6.14332342147827
DNA_34	UK1-U6-MC06-C11	deep_sea	18S rRNA	V9	DNA		Abyssline2	Pacific Ocean	North Pacific Ocean	AB11	Sediment		CCFZ_UK1	UK1-U6	UK1-U6-MC06	UK1-U6-MC06-C11	UK1-U6-MC06-C11-R1	2 ml	lifeguard preservation solution	multiple corer	23/02/2015	23/02/2015	12.57905	-116.6880167	0	1		4234.0	300.364990234375	6.02676391601562	2	43	8.20600032806396	2	27	1.91779100894928	-0.0702056884765625	0.689927697181702	93.8416366577148	45.7913513183594	0.0695898085832596	37.3572998046875	3.43420004844666	4.32919979095459	158.089401245117	1.51740002632141	0.244800001382828	34.6356887817383	6.86278390884399	-4097.05712890625	1.644217459	6.14332342147827
DNA_35	UK1-U6-MC06-C11	deep_sea	18S rRNA	V9	DNA		Abyssline2	Pacific Ocean	North Pacific Ocean	AB11	Sediment		CCFZ_UK1	UK1-U6	UK1-U6-MC06	UK1-U6-MC06-C11	UK1-U6-MC06-C11-R2	2 ml	lifeguard preservation solution	multiple corer	23/02/2015	23/02/2015	12.57905	-116.6880167	0	1		4234.0	300.364990234375	6.02676391601562	2	43	8.20600032806396	2	27	1.91779100894928	-0.0702056884765625	0.689927697181702	93.8416366577148	45.7913513183594	0.0695898085832596	37.3572998046875	3.43420004844666	4.32919979095459	158.089401245117	1.51740002632141	0.244800001382828	34.6356887817383	6.86278390884399	-4097.05712890625	1.644217459	6.14332342147827
DNA_36	UK1-U6-MC06-C11	deep_sea	18S rRNA	V9	DNA		Abyssline2	Pacific Ocean	North Pacific Ocean	AB11	Sediment		CCFZ_UK1	UK1-U6	UK1-U6-MC06	UK1-U6-MC06-C11	UK1-U6-MC06-C11-R3	2 ml	lifeguard preservation solution	multiple corer	23/02/2015	23/02/2015	12.57905	-116.6880167	0	1		4234.0	300.364990234375	6.02676391601562	2	43	8.20600032806396	2	27	1.91779100894928	-0.0702056884765625	0.689927697181702	93.8416366577148	45.7913513183594	0.0695898085832596	37.3572998046875	3.43420004844666	4.32919979095459	158.089401245117	1.51740002632141	0.244800001382828	34.6356887817383	6.86278390884399	-4097.05712890625	1.644217459	6.14332342147827
DNA_37	OMS1-S1-MC07-C4	deep_sea	18S rRNA	V9	DNA		Abyssline2	Pacific Ocean	North Pacific Ocean	AB11	Sediment		CCFZ_OMS1	OMS1-S1	OMS1-S1-MC07	OMS1-S1-MC07-C4	OMS1-S1-MC07-C4-R1	2 ml	lifeguard preservation solution	multiple corer	24/02/2015	24/02/2015	12.1178547	-117.3434123	0	1		4185.0	306	6.04016208648682	2	43	8.20499992370605	2	27	1	-0.058227650821209	0.155971392989159	86.2513809204102	46.4494895935059	0.0665566995739937	37.3041000366211	3.45700001716614	4.30310010910034	157.819900512695	1.49909996986389	0.24600000679493	34.6300582885742	6.79781293869019	-4119.8779296875	1.648807645	6.50984621047974
